ticker,pack,scope,strat_pct,bh_pct,alpha_pct,sharpe,max_dd_pct,trades,win_rate
2301,pack_a,total,44.91,901.5,-856.59,0.382,27.62,26,34.6
2301,pack_a,S1_trump1,-20.52,30.73,-51.26,-1.427,22.19,6,0.0
2301,pack_a,S2_late,-3.43,15.0,-18.43,-0.327,7.84,4,25.0
2301,pack_a,S3_covid,2.14,73.02,-70.88,0.186,16.44,5,40.0
2301,pack_a,S4_hike,75.92,76.67,-0.75,1.696,13.43,4,75.0
2301,pack_a,S5_ai,0.61,116.56,-115.95,0.118,23.88,5,40.0
2301,pack_b,total,10.52,901.5,-890.98,0.178,43.66,46,31.1
2301,pack_b,S1_trump1,-30.95,30.73,-61.68,-1.7,35.5,12,8.3
2301,pack_b,S2_late,-10.96,15.0,-25.96,-1.114,10.96,7,14.3
2301,pack_b,S3_covid,-10.3,73.02,-83.32,-0.416,22.49,10,33.3
2301,pack_b,S4_hike,96.51,76.67,19.83,1.958,13.43,5,80.0
2301,pack_b,S5_ai,-6.95,116.56,-123.51,-0.038,30.15,10,33.3
2301,pack_c,total,0.88,901.5,-900.62,0.114,44.2,42,26.8
2301,pack_c,S1_trump1,-33.29,30.73,-64.02,-2.063,34.69,11,0.0
2301,pack_c,S2_late,-9.37,15.0,-24.37,-0.972,9.75,6,16.7
2301,pack_c,S3_covid,-10.3,73.02,-83.32,-0.416,22.49,10,33.3
2301,pack_c,S4_hike,81.13,76.67,4.45,1.77,13.14,3,66.7
2301,pack_c,S5_ai,-6.95,116.56,-123.51,-0.038,30.15,10,33.3
2301,pack_d,total,-48.66,901.5,-950.16,-0.453,55.36,110,34.9
2301,pack_d,S1_trump1,-4.01,30.73,-34.74,-0.117,18.05,22,40.9
2301,pack_d,S2_late,-20.47,15.0,-35.47,-2.089,21.56,13,15.4
2301,pack_d,S3_covid,-5.39,73.02,-78.41,-0.23,15.87,22,42.9
2301,pack_d,S4_hike,-3.5,76.67,-80.17,-0.036,22.54,21,33.3
2301,pack_d,S5_ai,-29.48,116.56,-146.04,-0.745,38.19,32,29.0
2301,pack_e,total,-25.95,901.5,-927.45,-0.269,26.75,2,0.0
2301,pack_e,S1_trump1,0.0,30.73,-30.73,inf,,0,
2301,pack_e,S2_late,0.0,15.0,-15.0,inf,,0,
2301,pack_e,S3_covid,0.0,73.02,-73.02,inf,,0,
2301,pack_e,S4_hike,-21.83,76.67,-98.5,-1.633,21.83,1,
2301,pack_e,S5_ai,-12.4,116.56,-128.96,-0.242,26.09,1,0.0
2301,pack_f,total,12.15,901.5,-889.36,0.188,26.06,18,72.2
2301,pack_f,S1_trump1,2.86,30.73,-27.87,0.227,9.59,1,100.0
2301,pack_f,S2_late,-6.22,15.0,-21.22,-0.583,11.06,1,0.0
2301,pack_f,S3_covid,22.44,73.02,-50.58,1.461,7.64,4,100.0
2301,pack_f,S4_hike,-25.62,76.67,-102.29,-1.829,25.65,1,
2301,pack_f,S5_ai,-4.81,116.56,-121.37,-0.073,26.06,4,50.0
2301,pack_g,total,275.44,901.5,-626.06,0.889,44.53,1,
2301,pack_g,S1_trump1,-0.46,30.73,-31.2,0.03,14.77,1,
2301,pack_g,S2_late,-2.88,15.0,-17.88,-0.133,14.56,1,
2301,pack_g,S3_covid,30.04,73.02,-42.98,1.394,8.47,1,
2301,pack_g,S4_hike,41.33,76.67,-35.34,1.055,35.32,1,
2301,pack_g,S5_ai,66.4,116.56,-50.16,1.15,22.78,1,
1471,pack_a,total,27.6,125.74,-98.15,0.33,35.7,4,25.0
1471,pack_a,S1_trump1,0.0,1.78,-1.78,inf,,0,
1471,pack_a,S2_late,0.0,-52.3,52.3,inf,,0,
1471,pack_a,S3_covid,38.25,289.08,-250.83,0.97,32.42,2,50.0
1471,pack_a,S4_hike,-4.87,101.69,-106.55,-1.001,5.95,1,0.0
1471,pack_a,S5_ai,0.0,-36.13,36.13,inf,,0,
1471,pack_b,total,204.14,125.74,78.4,0.591,55.86,27,37.0
1471,pack_b,S1_trump1,-5.53,1.78,-7.32,0.1,32.13,7,28.6
1471,pack_b,S2_late,0.0,-52.3,52.3,inf,,0,
1471,pack_b,S3_covid,196.44,289.08,-92.64,1.757,46.91,7,50.0
1471,pack_b,S4_hike,42.66,101.69,-59.03,0.842,25.23,7,57.1
1471,pack_b,S5_ai,-20.16,-36.13,15.97,-0.401,37.22,4,25.0
1471,pack_c,total,271.43,125.74,145.69,0.679,49.38,22,36.4
1471,pack_c,S1_trump1,5.82,1.78,4.03,0.244,27.77,5,40.0
1471,pack_c,S2_late,0.0,-52.3,52.3,inf,,0,
1471,pack_c,S3_covid,196.44,289.08,-92.64,1.757,46.91,7,50.0
1471,pack_c,S4_hike,55.53,101.69,-46.16,1.213,21.19,4,50.0
1471,pack_c,S5_ai,-20.16,-36.13,15.97,-0.401,37.22,4,25.0
1471,pack_d,total,52.62,125.74,-73.12,0.354,54.21,74,31.1
1471,pack_d,S1_trump1,-19.6,1.78,-21.38,-0.521,27.72,17,35.3
1471,pack_d,S2_late,0.74,-52.3,53.05,0.142,13.18,4,50.0
1471,pack_d,S3_covid,107.71,289.08,-181.37,1.461,38.08,17,37.5
1471,pack_d,S4_hike,10.31,101.69,-91.38,0.401,28.71,16,37.5
1471,pack_d,S5_ai,-16.93,-36.13,19.21,-0.209,38.09,20,15.0
1471,pack_e,total,-12.13,125.74,-137.87,0.147,66.62,10,11.1
1471,pack_e,S1_trump1,-39.6,1.78,-41.38,-1.127,42.39,6,0.0
1471,pack_e,S2_late,0.0,-52.3,52.3,inf,,0,
1471,pack_e,S3_covid,39.8,289.08,-249.28,0.771,51.62,1,100.0
1471,pack_e,S4_hike,14.68,101.69,-87.0,0.486,24.1,1,
1471,pack_e,S5_ai,-4.12,-36.13,32.02,0.03,21.68,1,
1471,pack_f,total,-17.83,125.74,-143.57,0.006,39.4,17,50.0
1471,pack_f,S1_trump1,-31.13,1.78,-32.91,-0.978,37.5,5,20.0
1471,pack_f,S2_late,0.0,-52.3,52.3,inf,,0,
1471,pack_f,S3_covid,-19.49,289.08,-308.57,-0.463,28.85,3,66.7
1471,pack_f,S4_hike,32.08,101.69,-69.61,1.443,10.76,3,100.0
1471,pack_f,S5_ai,-3.71,-36.13,32.42,-0.204,14.18,1,
1471,pack_g,total,28.97,125.74,-96.77,0.276,47.33,1,
1471,pack_g,S1_trump1,-5.98,1.78,-7.76,0.044,42.31,1,
1471,pack_g,S2_late,-34.55,-52.3,17.75,-1.659,43.79,1,
1471,pack_g,S3_covid,92.31,289.08,-196.77,1.178,56.18,1,
1471,pack_g,S4_hike,75.25,101.69,-26.44,1.32,24.59,1,
1471,pack_g,S5_ai,-10.99,-36.13,25.14,-0.381,17.8,1,
1582,pack_a,total,0.12,158.47,-158.34,0.068,26.25,20,30.0
1582,pack_a,S1_trump1,-6.13,19.0,-25.13,-0.585,9.21,6,16.7
1582,pack_a,S2_late,-0.51,41.84,-42.35,0.018,8.15,2,50.0
1582,pack_a,S3_covid,-12.92,-7.55,-5.37,-1.331,17.64,4,25.0
1582,pack_a,S4_hike,7.3,9.42,-2.12,0.777,5.51,4,33.3
1582,pack_a,S5_ai,-9.26,46.46,-55.72,-0.224,21.89,4,25.0
1582,pack_b,total,3.14,158.47,-155.33,0.11,40.55,38,31.6
1582,pack_b,S1_trump1,-7.74,19.0,-26.74,-0.447,16.99,12,25.0
1582,pack_b,S2_late,-4.06,41.84,-45.9,-0.333,9.32,4,25.0
1582,pack_b,S3_covid,-8.4,-7.55,-0.85,-0.402,13.06,6,33.3
1582,pack_b,S4_hike,10.54,9.42,1.12,1.001,6.02,5,50.0
1582,pack_b,S5_ai,-25.88,46.46,-72.35,-0.668,40.55,9,22.2
1582,pack_c,total,2.06,158.47,-156.41,0.1,37.37,36,33.3
1582,pack_c,S1_trump1,-7.74,19.0,-26.74,-0.447,16.99,12,25.0
1582,pack_c,S2_late,-4.06,41.84,-45.9,-0.333,9.32,4,25.0
1582,pack_c,S3_covid,-12.47,-7.55,-4.92,-0.667,16.77,6,33.3
1582,pack_c,S4_hike,7.93,9.42,-1.49,0.848,6.02,4,50.0
1582,pack_c,S5_ai,-21.92,46.46,-68.38,-0.548,37.37,8,25.0
1582,pack_d,total,-49.94,158.47,-208.41,-0.595,49.94,103,22.3
1582,pack_d,S1_trump1,-23.08,19.0,-42.08,-1.861,25.9,25,16.0
1582,pack_d,S2_late,-0.45,41.84,-42.29,0.014,12.39,11,36.4
1582,pack_d,S3_covid,-11.64,-7.55,-4.09,-0.509,20.96,21,30.0
1582,pack_d,S4_hike,3.02,9.42,-6.4,0.351,9.71,16,26.7
1582,pack_d,S5_ai,-30.94,46.46,-77.4,-0.863,38.38,27,14.8
